A.J. Gil
Rod Sterling
Roger Daltrey
Ron Weasley
Ron Wyden
Ronald Mcdonald
Ronald Reagan
Ronnie James Dio
Rose McDowall
Rosemary Clooney
Rozalla
Ruben Studdard
Rubeus Hagrid
Russ Feingold
Russell Crowe
Ruth Etting
Ryan Starr
Sabrina Spellman
Sade
Sam Brownback
Sammy Davis Jr.
Samuel L. Jackson
Sananda Maitreya
Sandie Shaw
Sandra Bernhard
Sandra Bullock
Santa Claus
Sarah Hughes
Sarah McLachlan
Sarah Wiggum
Sarit Hadad
Saruman
Sawyer Ford
Saxby Chambliss
Sayid Jarrah
Scooby Doo
Scott Baio
Scott Glenn
Scott Savol
Scout Niblet
Sean Astin
Sean Connery
Selma Bouvier
Serena Williams
Severus Snape
Seymour Skinner
Shaheen Sheik
Shakira
Shannon Noll
Shannon Rutherford
Shaquille O'Neal
Sharon Stone
Shelley Fabares
Sherlock Holmes
Shirley Bassey
Simon Cowell
Sinéad O'Connor
Sir Grodus
Sir Winston Churchill
Sirius Black
Skeet Ulrich
Skye Sweetnam
Snow White
Sonny Bono
Sophie B. Hawkins
Sophie Ellis-Bextor
Sophie Tucker
Spencer W. Kimball
Spensor Tracy
Spongebob Squarepants
Spuds McKenzie
Squidward Tentacles
Stanley Tucci
Sterling Hayden
Steve Buscemi
Steve Forbert
Steve Martin
Steve Perry
Steve Tyler
Steven Seagal
Stina Nordenstam
Sun Kwon
Supreme Chancellor Palpatine
Susan B. Anthony
Susan Collins
Susan Ortega
Suzanne Vega
Sylvester Stallone
Sylvestor Stallone
Tamyra Gray
Tanya Donelly
Ted Bundy
Ted Stevens
Terence Stamp
Teresa Brewer
Terry Bradshaw
Thad Cochran
Theodore Roosevelt
Thom Yorke
Thomas B. Marsh
Thomas Carper
Thomas Dolby
Thomas Edison
Thomas Howell
Thomas Jefferson
Tiger Woods
Tim Johnson
Tim Roth
Timi Yuro
Timothy Leary
Tina Arena
Tina Turner
Tiny Tim
Toby Keith
Tom Araya
Tom Baker
Tom Brokaw
Tom Clancy
Tom Coburn
Tom Hanks
Tom Harkin
Tom Sizemore
Tom Welling
Tommy Chong
Toni Basil
Tony Blair
Tony Curtis
Tony Hawk
Tori Amos
Traci Lords
Tracy Chapman
Tracy Thorn
Treebeard
Trent Lott
Trent Reznor
Trenyce
Ty Cobb
Ulysses Simpson Grant
Uncle Ben
Uncle Tom
Val Kilmer
Van Morrison
Vanessa Amorosi
Vanessa Carlton
Vanessa Olivarez
Victor Mature
Vikki Carr
Vince Neil
Vincent D'Onofrio
Vincent van Gogh
Ving Rhames
Voldermort
Vonzell Solomon
Wally Cleaver
Walt Lloyd
Walter "Walt" Lloyd
Walter Matthau
Warrell Dane
Warren Beatty
Warren Gamaliel Harding
Warren Oates
Warren Parrish
Waylon Smithers
Wayne Allard
Wayne Gretzky
Wesley Snipes
Wile E. Coyote
Will Ferrel
Will Smith
Willard Richards
William E. McLellin
William Forsythe
William Henry Harrison
William Howard Taft
William Hung
William Jefferson Clinton
William McKinley
William Shatner
William Smith 
Willie Wonka
Willis Jackson
Willy Lowman
Wilma Flintstone
Wolf Blitzer
Wonder Woman
Woodrow Wilson
Yasser Arafat
Yazz
Yoda
Yogi Berra
Zachary Taylor
Zezima
Zuess
